,Unnamed: 0,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age,enrollment_time,clusters_kmeans,clusters_kprot
0,0,5524,1957,Graduation,Single,0.5168672362229639,0.0,0.0,2012-09-04,0.5858585858585859,0.4253181513730743,0.4422110552763819,0.5548780487804879,0.6640926640926641,0.4444444444444444,0.3534136546184739,0.2,0.7272727272727273,0.9090909090909092,0.1818181818181818,0.7,0,0,0,0,0,0,1,0.6964285714285714,0.9484978540772532,2,0
1,1,2174,1954,Graduation,Single,0.3964846740361943,0.5,0.5,2014-03-08,0.3838383838383838,0.0073677160080375,0.0050251256281407,0.0060975609756097,0.0077220077220077,0.005050505050505,0.0240963855421686,0.1333333333333333,0.0909090909090909,0.0909090909090909,0.0,0.5,0,0,0,0,0,0,0,0.75,0.161659513590844,3,2
2,2,4141,1965,Graduation,Together,0.6544079370425943,0.0,0.0,2013-08-21,0.2626262626262626,0.2853315472203617,0.2462311557788944,0.1290650406504065,0.4285714285714285,0.106060606060606,0.1686746987951807,0.0666666666666666,0.7272727272727273,0.1818181818181818,0.7272727272727273,0.4,0,0,0,0,0,0,0,0.5535714285714286,0.4463519313304721,2,0
3,3,6182,1984,Graduation,Together,0.1954251768380439,0.5,0.0,2014-02-10,0.2626262626262626,0.0073677160080375,0.0201005025125628,0.0203252032520325,0.0386100386100386,0.0151515151515151,0.0200803212851405,0.1333333333333333,0.1818181818181818,0.0,0.1818181818181818,0.6,0,0,0,0,0,0,0,0.2142857142857142,0.1988555078683834,0,1
4,4,5324,1981,PhD,Married,0.5184493370487185,0.5,0.0,2014-01-19,0.9494949494949496,0.115874079035499,0.2160804020100502,0.1199186991869918,0.1776061776061776,0.1363636363636363,0.0602409638554216,0.3333333333333333,0.4545454545454545,0.2727272727272727,0.3636363636363636,0.5,0,0,0,0,0,0,0,0.2678571428571428,0.2303290414878397,0,1
5,5,7446,1967,Master,Together,0.5615233079176492,0.0,0.5,2013-09-09,0.1616161616161616,0.348292029470864,0.2110552763819095,0.0995934959349593,0.0,0.2121212121212121,0.0562248995983935,0.1333333333333333,0.5454545454545454,0.3636363636363636,0.7272727272727273,0.6,0,0,0,0,0,0,0,0.5178571428571429,0.4191702432045779,1,3
6,6,965,1971,Graduation,Divorced,0.4913188596625532,0.0,0.5,2012-11-13,0.3434343434343434,0.1574012056262558,0.3266331658291457,0.1666666666666666,0.193050193050193,0.2474747474747475,0.108433734939759,0.2666666666666666,0.6363636363636364,0.2727272727272727,0.4545454545454545,0.6,0,0,0,0,0,0,0,0.4464285714285714,0.8483547925608012,1,3
7,7,6177,1985,PhD,Married,0.2649151279460248,0.5,0.0,2013-05-08,0.3232323232323232,0.0509042196918955,0.050251256281407,0.056910569105691,0.0115830115830115,0.005050505050505,0.0923694779116465,0.1333333333333333,0.3636363636363636,0.0,0.1818181818181818,0.8,0,0,0,0,0,0,0,0.1964285714285714,0.5965665236051502,0,1
8,8,4855,1974,PhD,Together,0.2332424901246287,0.5,0.0,2013-06-06,0.1919191919191919,0.0093770931011386,0.0,0.024390243902439,0.0115830115830115,0.0151515151515151,0.0080321285140562,0.0666666666666666,0.2727272727272727,0.0,0.0,0.9,0,0,0,0,0,0,1,0.3928571428571428,0.5550786838340487,0,1
9,11,387,1976,Basic,Married,0.0,0.0,0.0,2012-11-13,0.5959595959595959,0.0040187541862022,0.0804020100502512,0.0111788617886178,0.0424710424710424,0.005050505050505,0.0642570281124498,0.0666666666666666,0.1818181818181818,0.0,0.0909090909090909,0.8,0,0,0,0,0,0,0,0.3571428571428571,0.8483547925608012,0,1
