,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age,enrollment_time
0,5524,1957,Graduation,Single,0.5168672362229639,0.0,0.0,2012-09-04,0.5858585858585859,0.4253181513730743,0.44221105527638194,0.5548780487804879,0.6640926640926641,0.4444444444444444,0.3534136546184739,0.2,0.7272727272727273,0.9090909090909091,0.18181818181818182,0.7,0,0,0,0,0,0,1,0.6964285714285714,0.9484978540772532
1,2174,1954,Graduation,Single,0.39648467403619436,0.5,0.5,2014-03-08,0.3838383838383838,0.007367716008037508,0.005025125628140704,0.006097560975609756,0.007722007722007722,0.005050505050505051,0.024096385542168676,0.13333333333333333,0.09090909090909091,0.09090909090909091,0.0,0.5,0,0,0,0,0,0,0,0.75,0.16165951359084407
2,4141,1965,Graduation,Together,0.6544079370425943,0.0,0.0,2013-08-21,0.26262626262626265,0.2853315472203617,0.24623115577889448,0.1290650406504065,0.42857142857142855,0.10606060606060606,0.1686746987951807,0.06666666666666667,0.7272727272727273,0.18181818181818182,0.7272727272727273,0.4,0,0,0,0,0,0,0,0.5535714285714286,0.44635193133047213
3,6182,1984,Graduation,Together,0.19542517683804392,0.5,0.0,2014-02-10,0.26262626262626265,0.007367716008037508,0.020100502512562814,0.02032520325203252,0.03861003861003861,0.015151515151515152,0.020080321285140562,0.13333333333333333,0.18181818181818182,0.0,0.18181818181818182,0.6,0,0,0,0,0,0,0,0.21428571428571427,0.1988555078683834
4,5324,1981,PhD,Married,0.5184493370487185,0.5,0.0,2014-01-19,0.9494949494949495,0.115874079035499,0.21608040201005024,0.11991869918699187,0.1776061776061776,0.13636363636363635,0.060240963855421686,0.3333333333333333,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.5,0,0,0,0,0,0,0,0.26785714285714285,0.23032904148783978
5,7446,1967,Master,Together,0.5615233079176492,0.0,0.5,2013-09-09,0.16161616161616163,0.348292029470864,0.21105527638190955,0.09959349593495935,0.0,0.21212121212121213,0.05622489959839357,0.13333333333333333,0.5454545454545454,0.36363636363636365,0.7272727272727273,0.6,0,0,0,0,0,0,0,0.5178571428571429,0.41917024320457796
6,965,1971,Graduation,Divorced,0.49131885966255323,0.0,0.5,2012-11-13,0.3434343434343434,0.15740120562625587,0.32663316582914576,0.16666666666666666,0.19305019305019305,0.2474747474747475,0.10843373493975904,0.26666666666666666,0.6363636363636364,0.2727272727272727,0.45454545454545453,0.6,0,0,0,0,0,0,0,0.44642857142857145,0.8483547925608012
7,6177,1985,PhD,Married,0.26491512794602484,0.5,0.0,2013-05-08,0.32323232323232326,0.050904219691895514,0.05025125628140704,0.056910569105691054,0.011583011583011582,0.005050505050505051,0.09236947791164658,0.13333333333333333,0.36363636363636365,0.0,0.18181818181818182,0.8,0,0,0,0,0,0,0,0.19642857142857142,0.5965665236051502
8,4855,1974,PhD,Together,0.23324249012462872,0.5,0.0,2013-06-06,0.1919191919191919,0.009377093101138647,0.0,0.024390243902439025,0.011583011583011582,0.015151515151515152,0.008032128514056224,0.06666666666666667,0.2727272727272727,0.0,0.0,0.9,0,0,0,0,0,0,1,0.39285714285714285,0.5550786838340487
11,387,1976,Basic,Married,0.0,0.0,0.0,2012-11-13,0.5959595959595959,0.004018754186202277,0.08040201005025126,0.011178861788617886,0.04247104247104247,0.005050505050505051,0.0642570281124498,0.06666666666666667,0.18181818181818182,0.0,0.09090909090909091,0.8,0,0,0,0,0,0,0,0.35714285714285715,0.8483547925608012
12,2125,1959,Graduation,Divorced,0.5668310010105031,0.0,0.0,2013-11-15,0.8282828282828283,0.12993971868720697,0.3065326633165829,0.4878048780487805,0.8687258687258688,0.5656565656565656,0.12048192771084337,0.06666666666666667,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.2,0,0,0,0,0,0,0,0.6607142857142857,0.32331902718168815
13,8180,1952,Master,Divorced,0.529279072378561,0.5,0.5,2013-11-15,0.5353535353535354,0.15606162089752176,0.010050251256281407,0.05386178861788618,0.011583011583011582,0.025252525252525252,0.05622489959839357,0.2,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.6,0,0,0,0,0,0,0,0.7857142857142857,0.32331902718168815
14,2569,1987,Graduation,Married,0.10026436394443254,0.0,0.0,2012-10-10,0.3838383838383838,0.0020093770931011385,0.07035175879396985,0.017276422764227643,0.023166023166023165,0.005050505050505051,0.020080321285140562,0.06666666666666667,0.09090909090909091,0.0,0.09090909090909091,0.8,0,0,0,0,0,0,0,0.16071428571428573,0.8969957081545065
